Time,Disp,Force,CrackLen,CrackExt,G_I
0.9,0,0,41.52706812,0,0
1,6.29E-05,-0.131711794,41.52706812,0,-1.07E-08
1.1,0.000138949,-0.146346438,41.52706812,0,-2.64E-08
1.2,7.45E-05,0.014590162,41.52706812,0,1.41E-09
1.3,0.00020414,0.043859449,41.52706812,0,1.16E-08
1.4,0.000134899,-0.131711794,41.52706812,0,-2.30E-08
1.5,0.000197868,-0.234065336,41.52706812,0,-6.00E-08
1.6,6.64E-06,-0.11707715,41.52706812,0,-1.01E-09
1.7,0.000211108,-0.131667312,41.52706812,0,-3.60E-08
1.8,0.00018981,-0.102398024,41.52706812,0,-2.52E-08
1.9,0.000126041,-0.087807863,41.52706812,0,-1.43E-08
2,3.09E-05,0.029269288,41.52706812,0,1.17E-09
2.1,-5.80E-05,-0.029269288,41.52706812,0,2.20E-09
2.2,-4.92E-05,-0.146257474,41.52706812,0,9.32E-09
2.3,3.34E-05,-0.24869998,41.52706812,0,-1.08E-08
2.4,-1.32E-05,-0.234109819,41.52706812,0,4.00E-09
2.5,-2.99E-05,-0.175571243,41.52706812,0,6.80E-09
2.6,5.91E-05,-0.190205887,41.52706812,0,-1.46E-08
2.7,0.000141117,-0.146346438,41.52706812,0,-2.68E-08
2.8,8.16E-05,-0.102442507,41.52706812,0,-1.08E-08
2.9,5.57E-05,-0.043903931,41.52706812,0,-3.17E-09
3,4.95E-05,-0.204840531,41.52706812,0,-1.31E-08
3.1,0.000159341,-0.204796049,41.52706812,0,-4.23E-08
3.2,-5.47E-05,-0.351098005,41.52706812,0,2.49E-08
3.3,8.86E-05,-0.087763381,41.52706812,0,-1.01E-08
3.4,0.00026307,-0.190161405,41.52706812,0,-6.48E-08
3.5,0.000134369,-0.190161405,41.52706812,0,-3.31E-08
3.6,0.000141223,-0.11707715,41.52706812,0,-2.14E-08
3.7,0.000153356,-0.277969268,41.52706812,0,-5.52E-08
3.8,0.000264014,-0.131711794,41.52706812,0,-4.51E-08
3.9,0.000211727,-0.1609366,41.52706812,0,-4.42E-08
4,0.000272482,-0.073173219,41.52706812,0,-2.58E-08
4.1,0.000131738,-0.087763381,41.52706812,0,-1.50E-08
4.2,0.000325713,-0.014679126,41.52706812,0,-6.20E-09
4.3,0.000193029,-0.263379106,41.52706812,0,-6.59E-08
4.4,0.000156105,-0.043948414,41.52706812,0,-8.89E-09
4.5,0.000374232,-0.277969268,41.52706812,0,-1.35E-07
4.6,0.000288668,-0.087807863,41.52706812,0,-3.28E-08
4.7,0.000141346,-0.131711794,41.52706812,0,-2.41E-08
4.8,0.000209635,-0.175571243,41.52706812,0,-4.77E-08
4.9,0.000309462,-0.234109819,41.52706812,0,-9.39E-08
5,0.000251577,-0.190205887,41.52706812,0,-6.20E-08
5.1,0.000345052,-0.146301956,41.52706812,0,-6.54E-08
5.2,0.000282224,-0.219475175,41.52706812,0,-8.03E-08
5.3,0.000283126,-0.058583057,41.52706812,0,-2.15E-08
5.4,0.000341882,-0.292648394,41.52706812,0,-1.30E-07
5.5,0.000377075,-0.263290142,41.52706812,0,-1.29E-07
5.6,0.000335413,-0.043903931,41.52706812,0,-1.91E-08
5.7,0.00032325,-0.307238555,41.52706812,0,-1.29E-07
5.8,0.000113364,-0.219430693,41.52706812,0,-3.22E-08
5.9,0.000220043,-0.1609366,41.52706812,0,-4.59E-08
6,0.000173176,-0.204840531,41.52706812,0,-4.60E-08
6.1,0.000131989,-0.175571243,41.52706812,0,-3.00E-08
6.2,0.000198028,-0.234109819,41.52706812,0,-6.01E-08
6.3,0.000253385,-0.175571243,41.52706812,0,-5.76E-08
6.4,0.000246753,-0.102442507,41.52706812,0,-3.28E-08
6.5,0.000216608,-0.11707715,41.52706812,0,-3.29E-08
6.6,0.000139795,-0.190205887,41.52706812,0,-3.45E-08
6.7,0.000304589,-0.146301956,41.52706812,0,-5.77E-08
6.8,0.000195554,-0.190205887,41.52706812,0,-4.82E-08
6.9,0.00025183,-0.146257474,41.52706812,0,-4.77E-08
7,0.000236613,-0.204840531,41.52706812,0,-6.28E-08
7.1,0.000200691,-0.248744462,41.52706812,0,-6.47E-08
7.2,0.000214397,-0.146346438,41.52706812,0,-4.07E-08
7.3,7.27E-05,-0.234065336,41.52706812,0,-2.21E-08
7.4,0.000275153,-0.190205887,41.52706812,0,-6.78E-08
7.5,0.000152899,-0.409592098,41.52706812,0,-8.12E-08
7.6,0.000172849,-0.117032668,41.52706812,0,-2.62E-08
7.7,0.00025677,-0.146257474,41.52706812,0,-4.87E-08
7.8,0.00019057,-0.146301956,41.52706812,0,-3.61E-08
7.9,4.75E-05,-0.190205887,41.52706812,0,-1.17E-08
8,0.000313491,-0.160981082,41.52706812,0,-6.54E-08
8.1,0.00054139,-0.146346438,41.52706812,0,-1.03E-07
8.2,0.000220822,-0.029269288,41.52706812,0,-8.38E-09
8.3,0.000210883,-0.190205887,41.52706812,0,-5.20E-08
