Disp (in), Force (lb)
-0.008520403, 3.386220168
0.027151927, 38.9945559
0.080303882, 81.38995927
0.111386897, 108.5217741
0.155689334, 144.1337667
0.191416517, 181.4370409
0.231019934, 205.1826356
0.275212667, 237.4047511
0.310610736, 264.5383944
0.35037871, 293.3688045
0.394461738, 322.2010431
0.438599619, 352.7282202
0.473997687, 379.8618634
0.52665597, 407.0028203
0.574944348, 432.4470103
0.62334243, 461.2810773
0.658356531, 476.5501511
0.693480338, 495.2091018
0.74165901, 517.2634148
0.794207589, 541.0144947
0.846701315, 563.0706362
0.903784357, 593.6032985
0.964908191, 615.6630967
1.030347078, 637.7247233
1.087101006, 658.0877547
1.143690377, 673.3659705
1.200444304, 693.7290018
1.270143393, 714.0975184
1.339623073, 727.686281
1.422212471, 746.3653443
1.491582445, 756.5642298
1.565322326, 768.4598823
1.699856927, 792.2457021
1.791131285, 812.6233607
1.847885212, 832.986392
1.89595418, 851.650828
1.956968309, 870.3207493
2.026777103, 894.0791428
2.117941756, 911.0669245
2.204846208, 929.7478162
2.29153125, 941.6489539
2.352271117, 951.8441827
2.425681884, 953.5702042
2.51646257, 958.6934163
2.615763659, 960.4304083
2.667654009, 963.8422263
2.766571132, 953.7146488
2.822392569, 945.2637257
2.899624718, 931.7371291
2.954733075, 901.2520055
2.988321014, 872.4526784
3.004648739, 843.6460376
3.011523571, 789.4116625
3.018837221, 748.7367954
3.017081945, 694.4987635
3.00713538, 653.8165828
3.00996942, 608.0550718
3.008872372, 574.1563019
3.016405432, 540.2611887
3.019568586, 504.6693087
3.01006084, 477.5466359
3.021854102, 441.9584128
3.016551705, 411.4476914
3.011139604, 377.5470931
3.027577033, 352.1303293
3.03926059, 313.1522291
3.042478596, 279.2552875
3.054381562, 247.0569413
3.040119944, 206.3729322
3.039297158, 180.9488547
3.020555929, 135.1782017
3.006897687, 113.138516
2.962869511, 86.00121589
2.931841349, 60.56433955
2.875142273, 41.89624673
2.818552903, 26.61803089
2.74453876, 6.247685915
