Disp (in), Force (lb)
0.004424759, 3.391705406
0.009782008, 35.59736526
0.015852337, 89.83722557
0.03066248, 147.4706197
0.032253199, 196.6238361
0.055364334, 244.0912561
0.056680791, 284.76978
0.070997262, 327.1487277
0.076957887, 377.998711
0.078438901, 423.7620504
0.097125278, 467.8377649
0.116469884, 532.2527415
0.131225174, 588.1911971
0.145870759, 640.7397757
0.173406653, 691.5989011
0.196243526, 730.5916286
0.223669716, 778.060877
0.272177502, 810.284821
0.338055209, 845.9059556
0.420864016, 871.3647729
0.52917918, 884.9699912
0.611165202, 885.004731
0.680096357, 881.6441086
0.761917822, 876.594033
0.839314528, 868.1522519
0.921026288, 859.7122993
1.024423022, 854.6713657
1.119299352, 853.0166523
1.244271355, 847.9848607
1.356023934, 834.4728915
1.44188619, 820.9499518
1.51021397, 798.9450059
1.5743364, 780.3281086
1.625678227, 766.7905416
1.711375926, 748.1827864
1.763046867, 744.8148504
1.814882365, 746.5317298
1.879827581, 753.33891
1.949252408, 765.2327341
2.061553511, 768.6701498
2.147854586, 768.706718
2.238525568, 770.4400532
2.316470798, 778.9476571
2.385895625, 790.8414812
2.477115131, 809.5242013
2.55527977, 824.8115592
2.620718658, 846.8731859
2.712047868, 868.945783
2.76421248, 880.8322934
2.82948681, 897.8091046
2.859966449, 906.296596
2.911801946, 908.0134754
2.96330833, 899.5607239
3.040814741, 894.5088198
3.109855601, 894.5380744
3.174910522, 904.7351316
3.235760094, 918.3202373
3.292184907, 928.5136377
3.33544515, 931.9217988
3.395691346, 926.8625811
3.438622474, 920.1011112
3.480895374, 893.0003794
3.497607065, 876.0583081
3.514263904, 857.4212983
3.526550837, 837.0875215
3.538728065, 813.3638678
3.555110642, 786.2521655
3.554287856, 760.8280881
3.566026265, 723.5449264
3.560778721, 694.7291435
3.572846244, 667.6156128
3.563064237, 632.0182476
3.553611343, 606.5905133
3.548418652, 579.4696689
3.538472087, 538.7874882
3.528909489, 509.9698769
3.519072629, 472.6775731
3.4876605, 435.3761273
3.460727982, 403.1613254
3.429370706, 367.5548181
3.393917785, 338.7262363
3.358464865, 309.8976546
3.32760126, 289.5455938
3.287888138, 262.4101221
3.226599747, 235.2655084
3.204585659, 221.6968583
3.143242416, 192.8573061
3.095283153, 177.5827471
3.047269037, 160.6132496
2.977679653, 143.63461
2.921199987, 131.7462712
2.860350415, 118.1611654
2.78650083, 102.8756359
2.734555627, 97.7688795
2.669391001, 84.18194534
2.595760825, 75.67616984
2.496020917, 60.37966988
2.392295069, 55.25097249
2.301349826, 45.04294484
2.219199247, 39.92338951
2.145678775, 34.80749101
2.085103465, 29.69707774
2.002952886, 24.57752241
1.903596945, 21.14559193
1.77835068, 17.70269097
1.678994739, 14.27076048
1.558118381, 12.52462643
1.43718717, 9.083553886
1.311886053, 3.945714429
1.225584978, 3.909146177
1.143598956, 3.874406337
1.104818324, 5.55288912
1.035722612, 3.828696022
0.979681765, 5.499865155
