Pin Disp,Pin Force,Seperation,Pivot Location,Traction - Force,Traction - Moment,Analytic Traction
0,0.27517,0,5.9271,0,0,0
6.0438e-05,8.6701,6.1432e-05,5.9607,0.36474,0.36474,0.35528
0.00012088,17.065,0.00012286,5.9561,0.71972,0.71972,0.71056
0.00018131,25.46,0.00018429,5.9509,1.0748,1.0748,1.0658
0.00024175,33.855,0.00024572,5.9469,1.43,1.43,1.4211
0.00030219,42.25,0.00030715,5.9439,1.7852,1.7852,1.7763
0.00036263,50.645,0.00036858,5.9417,2.1404,2.1404,2.1316
0.00042307,59.04,0.00043,5.9399,2.4957,2.4957,2.4869
0.00048351,67.435,0.00049143,5.9385,2.8509,2.8509,2.8421
0.00054394,75.83,0.00055286,5.9374,3.2062,3.2062,3.1974
0.00060438,84.225,0.00061429,5.9364,3.5614,3.5614,3.5526
0.00066482,92.62,0.00067571,5.9356,3.9167,3.9167,3.9079
0.00072526,101.01,0.00073714,5.935,4.2719,4.2719,4.2632
0.0007857,109.41,0.00079857,5.9344,4.6272,4.6272,4.6184
0.00084614,117.8,0.00086,5.9339,4.9824,4.9824,4.9737
0.00090657,126.2,0.00092142,5.9335,5.3377,5.3377,5.3289
0.00096701,134.59,0.00098285,5.9331,5.6929,5.6929,5.6842
0.0010275,142.99,0.0010443,5.9327,6.0482,6.0482,6.0395
0.0010879,151.38,0.0011057,5.9324,6.4034,6.4034,6.3947
0.0011483,159.78,0.0011671,5.9321,6.7587,6.7587,6.75
0.0012088,168.17,0.0012286,5.9319,7.114,7.114,7.1052
0.0012692,176.57,0.00129,5.9317,7.4692,7.4692,7.4605
0.0013296,184.96,0.0013514,5.9315,7.8245,7.8245,7.8157
0.0013901,193.36,0.0014128,5.9313,8.1797,8.1797,8.171
0.0014505,201.75,0.0014743,5.9311,8.535,8.535,8.5263
0.001511,210.15,0.0015357,5.9309,8.8902,8.8902,8.8815
0.0015714,218.54,0.0015971,5.9308,9.2455,9.2455,9.2368
0.0016318,226.94,0.0016586,5.9306,9.6008,9.6008,9.592
0.0016923,235.33,0.00172,5.9305,9.956,9.956,9.9473
0.0017527,243.73,0.0017814,5.9304,10.311,10.311,10.303
0.0018131,252.12,0.0018428,5.9303,10.667,10.667,10.658
0.0018736,260.52,0.0019043,5.9302,11.022,11.022,11.013
0.001934,268.91,0.0019657,5.9301,11.377,11.377,11.368
0.0019945,277.31,0.0020271,5.93,11.732,11.732,11.724
0.0020549,285.7,0.0020885,5.9299,12.088,12.088,12.079
0.0021153,294.1,0.00215,5.9298,12.443,12.443,12.434
0.0021758,302.49,0.0022114,5.9297,12.798,12.798,12.789
0.0022362,310.89,0.0022728,5.9297,13.153,13.153,13.145
0.0022967,319.28,0.0023343,5.9296,13.509,13.509,13.5
0.0023571,327.68,0.0023957,5.9295,13.864,13.864,13.855
0.0024175,336.07,0.0024571,5.9295,14.219,14.219,14.21
0.002478,344.47,0.0025185,5.9294,14.574,14.574,14.566
0.0025384,352.86,0.00258,5.9294,14.93,14.93,14.921
0.0025988,361.26,0.0026414,5.9293,15.285,15.285,15.276
0.0026593,369.65,0.0027028,5.9292,15.64,15.64,15.631
0.0027197,378.05,0.0027642,5.9292,15.995,15.995,15.987
0.0027802,386.44,0.0028257,5.9292,16.351,16.351,16.342
0.0028406,394.84,0.0028871,5.9291,16.706,16.706,16.697
0.002901,403.23,0.0029485,5.9291,17.061,17.061,17.052
0.0029615,411.63,0.00301,5.929,17.416,17.416,17.408
0.0030219,420.02,0.0030714,5.929,17.772,17.772,17.763
0.0030824,428.42,0.0031328,5.9289,18.127,18.127,18.118
0.0031428,436.81,0.0031942,5.9289,18.482,18.482,18.473
0.0032032,445.21,0.0032557,5.9289,18.837,18.837,18.829
0.0032637,453.6,0.0033171,5.9288,19.193,19.193,19.184
0.0033241,462,0.0033785,5.9288,19.548,19.548,19.539
0.0033845,470.39,0.0034399,5.9288,19.903,19.903,19.895
0.003445,478.79,0.0035014,5.9287,20.258,20.258,20.25
0.0035054,487.18,0.0035628,5.9287,20.614,20.614,20.605
0.0035659,495.58,0.0036242,5.9287,20.969,20.969,20.96
0.0036263,503.97,0.0036857,5.9287,21.324,21.324,21.316
0.0036867,512.37,0.0037471,5.9286,21.679,21.679,21.671
0.0037472,520.76,0.0038085,5.9286,22.035,22.035,22.026
0.0038076,529.16,0.0038699,5.9286,22.39,22.39,22.381
0.003868,537.55,0.0039314,5.9286,22.745,22.745,22.737
0.0039285,545.95,0.0039928,5.9285,23.1,23.1,23.092
0.0039889,554.34,0.0040542,5.9285,23.456,23.456,23.447
0.0040494,562.74,0.0041156,5.9285,23.811,23.811,23.802
0.0041098,571.13,0.0041771,5.9285,24.166,24.166,24.158
0.0041702,579.53,0.0042385,5.9284,24.522,24.522,24.513
0.0042307,587.92,0.0042999,5.9284,24.877,24.877,24.868
0.0042911,596.32,0.0043614,5.9284,25.232,25.232,25.223
0.0043516,604.71,0.0044228,5.9284,25.587,25.587,25.579
0.004412,613.11,0.0044842,5.9284,25.943,25.943,25.934
0.0044724,621.5,0.0045456,5.9284,26.298,26.298,26.289
0.0045329,629.9,0.0046071,5.9283,26.653,26.653,26.644
0.0045933,638.29,0.0046685,5.9283,27.008,27.008,27
0.0046537,646.69,0.0047299,5.9283,27.364,27.364,27.355
0.0047142,655.08,0.0047914,5.9283,27.719,27.719,27.71
0.0047746,663.47,0.0048528,5.9283,28.074,28.074,28.065
0.0048351,671.87,0.0049142,5.9283,28.429,28.429,28.421
0.0048955,680.26,0.0049756,5.9282,28.785,28.785,28.776
0.0049559,688.66,0.0050371,5.9282,29.14,29.14,29.131
0.0050164,697.05,0.0050985,5.9282,29.495,29.495,29.486
0.0050768,705.45,0.0051599,5.9282,29.85,29.85,29.842
0.0051373,713.84,0.0052213,5.9282,30.204,30.204,30.197
0.0051977,722.24,0.0052828,5.9282,30.557,30.557,30.552
0.0052581,730.63,0.0053442,5.9281,30.909,30.909,30.907
0.0053186,739.02,0.0054056,5.9281,31.26,31.26,31.263
0.005379,747.4,0.0054671,5.9281,31.61,31.61,31.618
0.0054394,755.79,0.0055285,5.9281,31.959,31.959,31.973
0.0054999,764.17,0.0055899,5.928,32.307,32.307,32.329
0.0055603,772.54,0.0056513,5.928,32.653,32.653,32.684
0.0056208,780.91,0.0057128,5.9279,32.999,32.999,33.039
0.0056812,789.28,0.0057742,5.9279,33.343,33.343,33.394
0.0057416,797.64,0.0058356,5.9278,33.686,33.686,33.75
0.0058021,805.99,0.005897,5.9277,34.028,34.028,34.105
0.0058625,814.34,0.0059585,5.9277,34.368,34.368,34.46
0.0059229,822.68,0.0060199,5.9276,34.707,34.707,34.815
0.0059834,831.01,0.0060813,5.9275,35.044,35.044,35.171
0.0060438,839.33,0.0061427,5.9274,35.379,35.379,35.526
0.0061043,847.65,0.0062042,5.9272,35.711,35.711,35.881
0.0061647,855.95,0.0062656,5.9271,36.038,36.038,36.236
0.0062251,864.24,0.006327,5.9269,36.361,36.361,36.592
0.0062856,872.51,0.0063884,5.9268,36.68,36.68,36.947
0.006346,880.77,0.0064499,5.9266,36.994,36.994,37.302
0.0064065,889.01,0.0065113,5.9263,37.304,37.304,37.657
0.0064669,897.23,0.0065727,5.9261,37.608,37.608,38.004
0.0065273,905.42,0.0066341,5.9258,37.908,37.908,38.004
0.0065878,913.59,0.0066956,5.9255,38.202,38.202,38.004
0.0066482,921.74,0.006757,5.9252,38.491,38.491,38.004
0.0067086,929.86,0.0068184,5.9249,38.775,38.775,38.004
0.0067691,937.95,0.0068798,5.9245,39.053,39.053,38.004
0.0068295,946.01,0.0069413,5.924,39.325,39.325,38.004
0.00689,954.04,0.0070027,5.9236,39.591,39.591,38.004
0.0069504,962.03,0.0070641,5.9231,39.85,39.851,38.004
0.0070108,969.99,0.0071255,5.9225,40.104,40.104,38.004
0.0070713,977.9,0.0071869,5.922,40.336,40.336,38.004
0.0071317,985.77,0.0072484,5.9213,40.537,40.537,38.004
0.0071922,993.56,0.0073098,5.9206,40.705,40.705,38.004
0.0072526,1001.3,0.0073712,5.9198,40.838,40.838,38.004
0.007313,1008.9,0.0074326,5.9189,40.937,40.937,38.004
0.0073735,1016.4,0.007494,5.9178,40.999,40.999,38.004
0.0074339,1023.8,0.0075554,5.9167,41.024,41.024,38.004
0.0074943,1031.1,0.0076168,5.9154,41.011,41.011,38.004
0.0075548,1038.2,0.0076782,5.9139,40.958,40.958,38.004
0.0076152,1045.2,0.0077396,5.9123,40.864,40.864,38.004
0.0076757,1052,0.007801,5.9105,40.729,40.729,38.004
0.0077361,1058.7,0.0078624,5.9086,40.551,40.551,38.004
0.0077965,1065.1,0.0079238,5.9064,40.329,40.329,38.004
0.007857,1071.3,0.0079852,5.904,40.063,40.063,38.004
0.0079174,1077.3,0.0080466,5.9014,39.75,39.75,38.004
0.0079778,1083.1,0.008108,5.8986,39.391,39.391,38.004
0.0080383,1088.6,0.0081693,5.8955,38.988,38.988,38.004
0.0080987,1093.8,0.0082307,5.8922,38.558,38.558,38.004
0.0081592,1098.8,0.0082921,5.8887,38.104,38.104,38.004
0.0082196,1103.6,0.0083534,5.8849,37.624,37.624,38.004
0.00828,1108,0.0084148,5.8808,37.12,37.12,38.004
0.0083405,1112.2,0.0084761,5.8766,36.591,36.591,38.004
0.0084009,1116.2,0.0085375,5.872,36.038,36.038,38.004
0.0084614,1119.8,0.0085988,5.8672,35.459,35.459,38.004
0.0085218,1123.2,0.0086601,5.8622,34.855,34.855,38.004
0.0085822,1126.3,0.0087215,5.8569,34.225,34.225,38.004
0.0086427,1129.1,0.0087828,5.8514,33.571,33.571,38.004
0.0087031,1131.6,0.0088441,5.8456,32.891,32.891,38.004
0.0087635,1133.8,0.0089054,5.8395,32.185,32.185,38.004
0.008824,1135.8,0.0089667,5.8332,31.454,31.454,38.004
0.0088844,1137.4,0.009028,5.8266,30.698,30.698,38.004
0.0089449,1138.8,0.0090893,5.8198,29.916,29.916,38.004
0.0090053,1139.8,0.0091506,5.8127,29.109,29.109,29.072
