Disp (in), Force (lb)
0.004150497, 5.082987078
0.006673706, 72.88418377
0.009690587, 166.1058011
0.007679333, 237.2913895
0.036147717, 316.9644694
0.03336853, 364.4209189
0.047959263, 415.274559
0.04949513, 462.7328369
0.059606251, 508.4998332
0.069552816, 549.1820139
0.071088683, 596.6402918
0.080925542, 633.9325956
0.095461423, 683.0912972
0.122887612, 730.5605456
0.145614781, 766.1633961
0.198547326, 801.7790455
0.259945422, 832.3135362
0.325658571, 862.8498553
0.417810567, 910.3465299
0.513454831, 932.4209554
0.604016108, 930.7644136
0.69845362, 915.5501922
0.771041601, 891.8521363
0.839204823, 864.7623749
0.911518542, 832.5896265
0.970832248, 798.7164543
1.052324598, 783.4967477
1.146926667, 773.3673418
1.241912702, 775.1025054
1.332967651, 788.70041
1.432817264, 807.386787
1.528461528, 829.4612125
1.63229708, 837.9797869
1.766338009, 846.5111602
1.899940119, 841.4830255
2.003007739, 826.2724609
2.080020478, 805.9661104
2.156978365, 783.9648213
2.216456628, 755.1764647
2.288715494, 721.3087778
2.348138905, 690.8254826
2.403137556, 656.950482
2.466985725, 629.8588923
2.535478061, 612.9387619
2.608340304, 597.7153984
2.668476795, 589.2663037
2.737243394, 580.8208658
2.801201267, 557.1191531
2.839159113, 530.0165928
2.850348998, 475.7840462
2.862690783, 457.145208
2.852853924, 419.8529042
2.851482614, 377.4794418
2.83285109, 335.0986657
2.819083142, 309.669103
2.787725866, 274.0625957
2.743478281, 240.1455416
2.668805909, 199.4359347
2.616202478, 173.9899163
2.550599034, 146.8434742
2.45495477, 124.7690486
2.385255681, 104.4005321
2.289392007, 75.54635255
2.211007958, 53.47924066
2.128692822, 43.27486984
2.042336894, 41.54336309
1.947296006, 38.11326102
1.89103575, 33.00467617
