Average,,Lower                    ,           ,Upper                    , ,
Skeletal Deflection (in) ,Force (lb) ,Skeletal Deflection (in) ,Force (lb) ,Skeletal Deflection (in) ,Force (lb) , 
0,833.2711894,0.25,760,0.25,1020,
0.023088094,857.6957042,1,770,1,1030,
0.054673548,875.1182369,1.5,800,1.5,1080,
0.08177483,892.5525443,2.25,900,2.5,1250,
0.131139981,895.9240144,2.4,700,3.3,700,
0.193938026,897.509665,2.2,200,2.9,200,
0.265665169,895.5707754,,,,,
0.337392311,893.6318857,,,,,
0.409040956,884.691014,,,,,
0.485213023,879.2393587,,,,,
0.543507271,879.0862884,,,,,
0.619757835,880.6366152,,,,,
0.731881783,882.0927449,,,,,
0.875414565,885.2169476,,,,,
0.974105618,888.4588967,,,,,
1.050415056,895.26071,,,,,
1.189581412,908.8996605,,,,,
1.292795887,915.630826,,,,,
1.382577467,924.1478109,,,,,
1.467874875,932.6765704,,,,,
1.575632396,944.6474478,,,,,
1.660949428,954.9267029,,,,,
1.764262025,970.410346,,,,,
1.872078419,987.6327099,,,,,
1.948466354,1001.436505,,,,,
2.033861884,1018.717742,,,,,
2.128206135,1034.224935,,,,,
2.213562415,1048.005181,,,,,
2.307906666,1063.512373,,,,,
2.38433385,1080.81716,,,,,
2.478579979,1087.571874,,,,,
2.545744451,1078.642777,,,,,
2.612810801,1060.961203,,,,,
2.679720156,1029.275664,,,,,
2.737621917,994.1126832,,,,,
2.768638264,960.770846,,,,,
2.804119159,925.6667386,,,,,
2.835057009,885.3229193,,,,,
2.852581588,848.515415,,,,,
2.870145417,815.2089016,,,,,
2.874080107,766.1832525,,,,,
2.882597092,725.8983064,,,,,
2.877504563,671.6447201,,,,,
2.872549404,629.6446023,,,,,
2.876582216,589.3714308,,,,,
2.858115666,542.1551504,,,,,
2.857899798,522.8996997,,,,,
2.821496556,475.7305179,,,,,
2.816600271,438.9818867,,,,,
2.802676767,397.0053182,,,,,
2.770953942,367.3293169,,,,,
2.725719724,332.4371529,,,,,
2.70298487,304.4880978,,,,,
2.648605687,253.8650235,,,,,
2.607875267,220.7115804,,,,,
2.571668269,191.0473537,,,,,
2.427429009,124.9053123,,,,,
2.337470809,100.6338678,,,,,
2.274515768,85.044253,,,,,
2.220529074,69.43108896,,,,,
2.130668995,53.91212199,,,,,
2.027376023,40.17897443,,,,,
1.942058991,29.89971937,,,,,
1.84328944,19.65578821,,,,,
1.753488235,9.388307789,,,,,
1.654718684,-0.855623369,,,,,
