Time,Disp,Force,CrackLen,CrackExt,G_I
0,0,0,37.02721106,0,0
0.2,-0.001189557,-0.146257474,37.02721106,0,2.20E-07
0.4,-0.001301187,-0.175482279,37.02721106,0,2.89E-07
0.6,-0.00115671,-0.175482279,37.02721106,0,2.57E-07
0.8,-0.000959549,-0.146212991,37.02721106,0,1.78E-07
1,-0.000894967,0.029269288,37.02721106,0,-3.31E-08
1.2,-0.000931752,-0.043770485,37.02721106,0,5.16E-08
1.4,-0.000826815,-0.160892117,37.02721106,0,1.68E-07
1.6,-0.001067471,0.029358252,37.02721106,0,-3.97E-08
1.8,-0.000988454,-0.043814967,37.02721106,0,5.48E-08
2,-0.000847567,0.014723608,37.02721106,0,-1.58E-08
2.2,-0.00076937,-0.160847635,37.02721106,0,1.57E-07
2.4,-0.00129307,8.90E-05,37.02721106,0,-1.46E-10
2.6,-0.001188127,-0.146212991,37.02721106,0,2.20E-07
2.8,-0.000899142,0.11707715,37.02721106,0,-1.33E-07
3,-0.000748718,-0.131578348,37.02721106,0,1.25E-07
3.2,-0.000591613,0.058583057,37.02721106,0,-4.39E-08
3.4,-0.000594922,-0.087629934,37.02721106,0,6.60E-08
3.6,-0.000807778,-0.116988186,37.02721106,0,1.20E-07
3.8,-0.001133227,0.102442507,37.02721106,0,-1.47E-07
4,-0.000973455,-0.087718898,37.02721106,0,1.08E-07
4.2,-0.000706099,-0.160847635,37.02721106,0,1.44E-07
4.4,-0.002558956,0.11707715,37.02721106,0,-3.79E-07
4.6,-0.001914233,0.204796049,37.02721106,0,-4.96E-07
4.8,-0.001029732,0.263379106,37.02721106,0,-3.43E-07
5,-0.004363907,0.292648394,37.02721106,0,-1.62E-06
5.2,-0.002842692,0.438905867,37.02721106,0,-1.58E-06
5.4,-0.004076757,0.511990122,37.02721106,0,-2.64E-06
5.6,-0.001373635,0.526624766,37.02721106,0,-9.15E-07
5.8,-0.002226307,0.570484215,37.02721106,0,-1.61E-06
6,-0.005488823,0.380367292,37.02721106,0,-2.64E-06
6.2,-0.001551892,0.468130673,37.02721106,0,-9.19E-07
6.4,-0.004824971,0.833863321,37.02721106,0,-5.09E-06
6.6,-0.003272361,0.424271224,37.02721106,0,-1.76E-06
6.8,-0.005174897,0.336507843,37.02721106,0,-2.20E-06
7,-0.002270837,0.570573179,37.02721106,0,-1.64E-06
7.2,-0.003772238,0.512034604,37.02721106,0,-2.44E-06
7.4,-0.002622342,0.585207823,37.02721106,0,-1.94E-06
7.6,-0.003145952,0.497355478,37.02721106,0,-1.98E-06
7.8,-0.007819113,0.643657434,37.02721106,0,-6.37E-06
8,-0.002821697,0.760690102,37.02721106,0,-2.72E-06
8.2,-0.008755701,0.702196009,37.02721106,0,-7.78E-06
8.4,-0.003070489,0.65833656,37.02721106,0,-2.56E-06
8.6,-0.004763241,0.62902279,37.02721106,0,-3.79E-06
8.8,-0.009232718,0.512034604,37.02721106,0,-5.98E-06
9,-0.004007343,0.687561365,37.02721106,0,-3.49E-06
9.2,-0.009781757,0.687561365,37.02721106,0,-8.51E-06
9.4,-0.003165566,0.790003872,37.02721106,0,-3.16E-06
9.6,-0.010024048,0.78995939,37.02721106,0,-1.00E-05
9.8,-0.002892178,0.863088127,37.02721106,0,-3.16E-06
10,-0.002250926,1.067928658,37.02721106,0,-3.04E-06
10.2,-0.002454053,1.214186131,37.02721106,0,-3.77E-06
10.4,-0.00127008,1.228820775,37.02721106,0,-1.97E-06
10.6,-0.000207044,1.243410937,37.02721106,0,-3.26E-07
10.8,0.000418471,1.287314868,37.02721106,0,6.82E-07
11,0.000889602,1.345853443,37.02721106,0,1.51E-06
11.2,0.004651215,1.272680224,37.02721106,0,7.49E-06
11.4,0.002090832,1.506701078,37.02721106,0,3.99E-06
11.6,0.00347148,1.492066435,37.02721106,0,6.55E-06
11.8,0.005208377,1.433527859,37.02721106,0,9.45E-06
