Pin Disp,Pin Force,Seperation,Pivot Location,Traction - Force,Traction - Moment,Analytic Traction
0,0.6683,0,6.0798,0,0,0
4.9313e-05,9.3392,5.4043e-05,6.1594,0.36021,0.36021,0.33913
9.8626e-05,18.01,0.00010807,6.1485,0.69805,0.69805,0.67817
0.00014794,26.681,0.00016209,6.1362,1.0364,1.0364,1.0171
0.00019725,35.352,0.00021609,6.1268,1.375,1.375,1.356
0.00024656,44.023,0.00027009,6.1198,1.7136,1.7136,1.6949
0.00029588,52.694,0.00032409,6.1145,2.0523,2.0523,2.0337
0.00034519,61.365,0.00037809,6.1103,2.3911,2.3911,2.3725
0.0003945,70.036,0.00043208,6.107,2.7299,2.7299,2.7114
0.00044381,78.706,0.00048608,6.1043,3.0686,3.0686,3.0502
0.00049313,87.377,0.00054007,6.1021,3.4074,3.4074,3.389
0.00054244,96.048,0.00059407,6.1002,3.7462,3.7462,3.7279
0.00059175,104.72,0.00064806,6.0986,4.085,4.085,4.0667
0.00064107,113.39,0.00070206,6.0972,4.4238,4.4238,4.4055
0.00069038,122.06,0.00075605,6.096,4.7626,4.7626,4.7443
0.00073969,130.73,0.00081005,6.095,5.1015,5.1015,5.0831
0.000789,139.4,0.00086404,6.0941,5.4403,5.4403,5.422
0.00083832,148.07,0.00091803,6.0933,5.7791,5.7791,5.7608
0.00088763,156.74,0.00097203,6.0925,6.1179,6.1179,6.0996
0.00093694,165.42,0.001026,6.0919,6.4567,6.4567,6.4384
0.00098626,174.09,0.00108,6.0913,6.7955,6.7955,6.7772
0.0010356,182.76,0.001134,6.0907,7.1344,7.1344,7.1161
0.0010849,191.43,0.001188,6.0903,7.4732,7.4732,7.4549
0.0011342,200.1,0.001242,6.0898,7.812,7.812,7.7937
0.0011835,208.77,0.001296,6.0894,8.1508,8.1508,8.1325
0.0012328,217.44,0.00135,6.089,8.4896,8.4896,8.4713
0.0012821,226.11,0.001404,6.0887,8.8284,8.8284,8.8102
0.0013314,234.78,0.001458,6.0883,9.1673,9.1673,9.149
0.0013808,243.45,0.001512,6.088,9.5061,9.5061,9.4878
0.0014301,252.12,0.001566,6.0877,9.8449,9.8449,9.8266
0.0014794,260.8,0.00162,6.0875,10.184,10.184,10.165
0.0015287,269.47,0.0016739,6.0872,10.523,10.523,10.504
0.001578,278.14,0.0017279,6.087,10.861,10.861,10.843
0.0016273,286.81,0.0017819,6.0868,11.2,11.2,11.182
0.0016766,295.48,0.0018359,6.0866,11.539,11.539,11.521
0.0017259,304.15,0.0018899,6.0864,11.878,11.878,11.86
