Pin Disp,Pin Force,Seperation,Pivot Location,Traction - Force,Traction - Moment,Analytic Traction
0,0.33807,0,5.9271,0,0,0
6.0893e-05,8.7891,6.5456e-05,5.9675,0.36933,0.36933,0.35776
0.00012179,17.24,0.00013091,5.9619,0.7265,0.7265,0.71549
0.00018268,25.691,0.00019635,5.9557,1.0839,1.0839,1.0732
0.00024357,34.142,0.00026178,5.9509,1.4414,1.4414,1.4308
0.00030446,42.593,0.00032722,5.9473,1.7989,1.7989,1.7885
0.00036536,51.044,0.00039265,5.9446,2.1565,2.1565,2.1461
0.00042625,59.495,0.00045809,5.9425,2.5141,2.5141,2.5038
0.00048714,67.946,0.00052352,5.9408,2.8717,2.8717,2.8614
0.00054803,76.397,0.00058895,5.9394,3.2293,3.2293,3.219
0.00060893,84.848,0.00065438,5.9383,3.5869,3.5869,3.5767
0.00066982,93.299,0.00071981,5.9373,3.9446,3.9446,3.9343
0.00073071,101.75,0.00078525,5.9365,4.3022,4.3022,4.2919
0.0007916,110.2,0.00085068,5.9358,4.6598,4.6598,4.6496
0.0008525,118.65,0.00091611,5.9352,5.0174,5.0174,5.0072
0.00091339,127.1,0.00098154,5.9347,5.375,5.375,5.3648
0.00097428,135.55,0.001047,5.9342,5.7327,5.7327,5.7225
0.0010352,144.01,0.0011124,5.9338,6.0903,6.0903,6.0801
0.0010961,152.46,0.0011778,5.9335,6.4479,6.4479,6.4377
0.001157,160.91,0.0012433,5.9331,6.8056,6.8056,6.7953
0.0012179,169.36,0.0013087,5.9328,7.1632,7.1632,7.153
0.0012787,177.81,0.0013741,5.9326,7.5208,7.5208,7.5106
0.0013396,186.26,0.0014396,5.9323,7.8784,7.8784,7.8682
0.0014005,194.71,0.001505,5.9321,8.2361,8.2361,8.2259
0.0014614,203.16,0.0015704,5.9319,8.5937,8.5937,8.5835
0.0015223,211.61,0.0016359,5.9317,8.9513,8.9513,8.9411
0.0015832,220.06,0.0017013,5.9315,9.309,9.309,9.2988
0.0016441,228.52,0.0017667,5.9313,9.6666,9.6666,9.6564
0.001705,236.97,0.0018322,5.9312,10.024,10.024,10.014
0.0017659,245.42,0.0018976,5.931,10.382,10.382,10.372
0.0018268,253.87,0.001963,5.9309,10.739,10.739,10.729
0.0018877,262.32,0.0020284,5.9308,11.097,11.097,11.087
0.0019486,270.77,0.0020939,5.9307,11.455,11.455,11.445
0.0020095,279.22,0.0021593,5.9306,11.812,11.812,11.802
0.0020703,287.67,0.0022247,5.9305,12.17,12.17,12.16
0.0021312,296.12,0.0022902,5.9304,12.528,12.528,12.517
0.0021921,304.57,0.0023556,5.9303,12.885,12.885,12.875
0.002253,313.03,0.002421,5.9302,13.243,13.243,13.233
0.0023139,321.48,0.0024865,5.9301,13.6,13.6,13.59
0.0023748,329.93,0.0025519,5.93,13.957,13.957,13.948
0.0024357,338.37,0.0026173,5.9299,14.312,14.312,14.306
0.0024966,346.82,0.0026828,5.9298,14.666,14.666,14.663
0.0025575,355.26,0.0027482,5.9297,15.019,15.019,15.021
0.0026184,363.69,0.0028136,5.9296,15.37,15.37,15.378
0.0026793,372.12,0.002879,5.9294,15.72,15.72,15.736
0.0027402,380.53,0.0029445,5.9293,16.068,16.068,16.094
0.0028011,388.94,0.0030099,5.9291,16.414,16.414,16.451
0.002862,397.33,0.0030753,5.9288,16.758,16.758,16.809
0.0029228,405.72,0.0031408,5.9286,17.101,17.101,17.166
0.0029837,414.09,0.0032062,5.9283,17.441,17.441,17.524
0.0030446,422.44,0.0032716,5.928,17.779,17.779,17.882
0.0031055,430.78,0.003337,5.9276,18.114,18.114,18.239
0.0031664,439.09,0.0034024,5.9272,18.447,18.447,18.597
0.0032273,447.39,0.0034679,5.9268,18.777,18.777,18.954
